instance,customers,stations,vehicles,vehicle_capacity,energy_capacity,energy_consumption_rate,avg_customer_demand,customer_demand_stddev
E-n22-k4,21,8,4,6000,94,1.2,1071.43,615.01
E-n23-k3,22,9,3,4500,190,1.2,463.14,827.15
E-n30-k3,29,6,4,4500,178,1.2,439.66,600.02
E-n33-k4,32,6,4,8000,209,1.2,917.81,796.46
E-n51-k5,50,9,5,160,105,1.2,15.54,7.98
E-n76-k7,75,9,7,220,98,1.2,18.19,7.91
E-n101-k8,100,9,8,200,103,1.2,14.58,8.83
X-n143-k7,142,4,7,1190,2243,1,52.64,28.98
X-n214-k11,213,9,11,944,987,1,48.62,28.93
X-n351-k40,350,35,40,436,649,1,49.48,28.29
X-n459-k26,458,20,26,1106,929,1,62.09,26.31
X-n573-k30,572,6,30,210,1691,1,10.79,19.70
X-n685-k75,684,25,75,408,911,1,44.30,28.52
X-n749-k98,748,30,98,396,790,1,51.36,28.35
X-n819-k171,818,25,171,358,926,1,74.47,14.48
X-n916-k207,915,9,207,33,1591,1,7.45,1.74
X-n1001-k43,1000,9,43,131,1684,1,5.56,2.86
